pair,price_change_pct,quote_volume,symbol
GRT/USDT:USDT,-3.322259136212624,2807269.521899998,GRTUSDT
CHILLGUY/USDT:USDT,-3.2978137056770107,953391.047611,CHILLGUYUSDT
INJ/USDT:USDT,-3.2615513276186614,27354765.830499995,INJUSDT
FLUID/USDT:USDT,3.259827420901251,3606512.5846000006,FLUIDUSDT
MERL/USDT:USDT,-3.2457496136012343,1264654.9467599997,MERLUSDT
ARKM/USDT:USDT,-3.242769500438203,2052949.7485999996,ARKMUSDT
JASMY/USDT:USDT,-3.2200755052187446,2537793.628249999,JASMYUSDT
CAKE/USDT:USDT,-3.079405162738502,6770238.458200004,CAKEUSDT
FF/USDT:USDT,-3.0682942923127676,4867576.99694,FFUSDT
BASED/USDT:USDT,3.0578813250819126,13950969.588099997,BASEDUSDT
KLAC/USDT:USDT,3.036371256927306,3185797.3612000006,KLACUSDT
BTC/USDT:USDT,-2.8852010457565247,9307313259.923302,BTCUSDT
ATOM/USDT:USDT,-2.8125000000000067,11601149.946530001,ATOMUSDT
RPL/USDT:USDT,2.790432801822318,3359972.8669999996,RPLUSDT
CRV/USDT:USDT,-2.789598108747038,13142523.232399996,CRVUSDT
BARD/USDT:USDT,-2.775636083269095,2507517.2335000024,BARDUSDT
HOME/USDT:USDT,2.757229320780108,7329101.314139997,HOMEUSDT
M/USDT:USDT,-2.721037159870354,16686308.14340001,MUSDT
B/USDT:USDT,-2.6734563971992253,2554515.9242,BUSDT
HEMI/USDT:USDT,-2.515588045581596,1345002.2485950005,HEMIUSDT
HOLO/USDT:USDT,-2.3679952934255066,2273374.4818000016,HOLOUSDT
EVAA/USDT:USDT,-2.359231286921404,843651354.0501002,EVAAUSDT
QNTX/USDT:USDT,-2.342661770292509,2554889.1927999994,QNTXUSDT
LTC/USDT:USDT,-2.2722159730033886,50638310.63114002,LTCUSDT
ASTS/USDT:USDT,-2.240859651421845,5858577.030399999,ASTSUSDT
ETC/USDT:USDT,-2.2269503546099245,15397643.403880006,ETCUSDT
PARTI/USDT:USDT,-2.166064981949456,1928020.52613,PARTIUSDT
RIVER/USDT:USDT,-2.121944668278264,9432579.083699998,RIVERUSDT
SLP/USDT:USDT,-2.1182360870402372,1298298.8949467,SLPUSDT
POWR/USDT:USDT,-2.0644283121597162,1573952.883729999,POWRUSDT
BBX/USDT:USDT,-2.0590868397493356,3508717.8236000016,BBXUSDT
ZRO/USDT:USDT,-2.029981261711422,12077925.637539988,ZROUSDT
AKE/USDT:USDT,2.0052770448548918,5274680.422925002,AKEUSDT
EIGEN/USDT:USDT,1.994796183868175,18621139.76507,EIGENUSDT
IO/USDT:USDT,-1.9906323185011843,4758732.390910001,IOUSDT
PIEVERSE/USDT:USDT,-1.9225167491989548,4034738.7452999996,PIEVERSEUSDT
KITE/USDT:USDT,-1.8689986282578785,10908085.877939988,KITEUSDT
COMP/USDT:USDT,-1.8465089440276805,3907728.230860001,COMPUSDT
TNSR/USDT:USDT,-1.8435920309247789,4904053.282789999,TNSRUSDT
ICP/USDT:USDT,-1.8426966292134805,17863274.46899999,ICPUSDT
PAXG/USDT:USDT,-1.7420406347179673,81765791.56253,PAXGUSDT
TIA/USDT:USDT,-1.658163265306123,28239835.64100001,TIAUSDT
NOM/USDT:USDT,1.6280525986224204,4917224.553237002,NOMUSDT
XAUT/USDT:USDT,-1.5802715471212037,32715914.64877999,XAUTUSDT
STG/USDT:USDT,-1.5413070283600505,6169657.487200004,STGUSDT
