cvd_delta_15m,cvd_source,cvd_zscore_15m,data_quality,data_ready,data_stale,flow_direction,funding_rate,funding_zscore,oi_delta_pct_15m,pair,qvol_5m,source,symbol,ts,volume_zscore_15m
-1.2240341812767508,real,-1.2240341812767508,OK,True,False,NO_TRADE,0.0,0.0,0.0,BBX/USDT:USDT,139994.3997,real,BBXUSDT,2026-07-08T18:39:51.031181+00:00,-0.07336704663305404
0.17999445469068986,real,0.17999445469068986,OK,True,False,LONG_ONLY,-2.018e-05,0.0,0.0,BCH/USDT:USDT,2142106.26746,real,BCHUSDT,2026-07-08T18:39:51.033548+00:00,0.034144187639079955
1.4312899045819765,real,1.4312899045819765,OK,True,False,BOTH_ALLOWED,5e-05,0.0,0.0,BEAT/USDT:USDT,1201115.632,real,BEATUSDT,2026-07-08T18:39:51.036021+00:00,1.0870483672330935
1.725403446674255,real,1.725403446674255,OK,True,False,BOTH_ALLOWED,3.265e-05,0.0,0.0,BEL/USDT:USDT,238436.52312999996,real,BELUSDT,2026-07-08T18:39:51.038475+00:00,-0.4979778832582572
1.6676916977027447,real,1.6676916977027447,OK,True,False,BOTH_ALLOWED,5e-05,0.0,0.0,BERA/USDT:USDT,227912.65623000002,real,BERAUSDT,2026-07-08T18:39:51.040920+00:00,0.03731590150945778
-1.8769882260806183,real,-1.8769882260806183,OK,True,False,NO_TRADE,0.0,0.0,0.0,BE/USDT:USDT,4825156.3538,real,BEUSDT,2026-07-08T18:39:51.043323+00:00,-0.1648514740478949
-0.5310625302476674,real,-0.5310625302476674,OK,True,False,NO_TRADE,-0.0002167,0.0,0.0,BICO/USDT:USDT,140731.4401,real,BICOUSDT,2026-07-08T18:39:51.045778+00:00,-0.20865430186824196
0.3969032793068732,real,0.3969032793068732,OK,True,False,BOTH_ALLOWED,5e-05,0.0,0.0,BILL/USDT:USDT,184240.76595,real,BILLUSDT,2026-07-08T18:39:51.048433+00:00,2.0339439453403276
-0.04892845636285987,real,-0.04892845636285987,OK,True,False,NO_TRADE,5e-05,0.0,0.0,BIO/USDT:USDT,119215.82841,real,BIOUSDT,2026-07-08T18:39:51.051039+00:00,0.13467216699541934
-1.1464559104414422,real,-1.1464559104414422,OK,True,False,NO_TRADE,5e-05,0.0,0.0,BIRB/USDT:USDT,136715.32189,real,BIRBUSDT,2026-07-08T18:39:51.053498+00:00,-0.3131748750949166
3.4731132677996057,real,3.4731132677996057,OK,True,False,BOTH_ALLOWED,5e-05,0.0,0.0,BLESS/USDT:USDT,320293.342088,real,BLESSUSDT,2026-07-08T18:39:51.055990+00:00,3.6737464828738537
0.9234963012997226,real,0.9234963012997226,OK,True,False,BOTH_ALLOWED,5e-05,0.0,0.0,BLUAI/USDT:USDT,822108.7637179999,real,BLUAIUSDT,2026-07-08T18:39:51.058430+00:00,3.4644276485922982
-0.5376821117616083,real,-0.5376821117616083,OK,True,False,NO_TRADE,0.0,0.0,0.0,BMNR/USDT:USDT,200490.28929999997,real,BMNRUSDT,2026-07-08T18:39:51.060996+00:00,-0.4622835235982361
-1.2765775240497494,real,-1.2765775240497494,OK,True,False,NO_TRADE,0.0001,0.0,0.0,BNB/USDT:USDT,6722612.7946,real,BNBUSDT,2026-07-08T18:39:51.063532+00:00,-0.22781037477708063
-2.038667188899327,real,-2.038667188899327,OK,True,False,NO_TRADE,5e-05,0.0,0.0,BOME/USDT:USDT,71523.7365816,real,BOMEUSDT,2026-07-08T18:39:51.066045+00:00,0.4461687768244872
2.330084462351635,real,2.330084462351635,OK,True,False,BOTH_ALLOWED,5e-05,0.0,0.0,BREV/USDT:USDT,84238.66935,real,BREVUSDT,2026-07-08T18:39:51.068619+00:00,0.6270255431729751
-2.334049597208661,real,-2.334049597208661,OK,True,False,NO_TRADE,5e-05,0.0,0.0,BSB/USDT:USDT,417399.79173,real,BSBUSDT,2026-07-08T18:39:51.071112+00:00,1.1727634797941946
-1.5225394314005791,real,-1.5225394314005791,OK,True,False,NO_TRADE,5e-05,0.0,0.0,BSV/USDT:USDT,22714.986,real,BSVUSDT,2026-07-08T18:39:51.073619+00:00,-0.49545483172517707
-1.7982747089819369,real,-1.7982747089819369,OK,True,False,NO_TRADE,3.22e-05,0.0,0.0,BTC/USDT:USDT,350862096.91859996,real,BTCUSDT,2026-07-08T18:39:51.076079+00:00,0.07341762164937804
-1.4108211429574713,real,-1.4108211429574713,OK,True,False,NO_TRADE,5e-05,0.0,0.0,BTW/USDT:USDT,1555368.2768899999,real,BTWUSDT,2026-07-08T18:39:51.078538+00:00,0.6978698355477914
-1.0130891611513582,real,-1.0130891611513582,OK,True,False,NO_TRADE,5e-05,0.0,0.0,B/USDT:USDT,55296.76440000001,real,BUSDT,2026-07-08T18:39:51.081080+00:00,0.2147502506967244
